Year,Quarter,Course,Code,Instructor,Time,Max,Enr,Place
2023,Spring,Math 210C REAL ANALYSIS,45510,"GOLDBRING, I.",MW 10:00-11:20,27,16,RH 440R
2023,Spring,Math 218C INTRO/MANIFOLD&GEOM,45520,"TSENG, L.",WF 11:30-12:50p,20,8,RH 306
2023,Spring,Math 220C ANALYTIC FNCTN THRY,45525,"LI, S.",MWF 9:00- 9:50,30,10,MSTB 122
2023,Spring,Math 222C COMPLX VAR &GEOMTRY,45530,"VIACLOVSKY, J.",MW 2:00- 3:20p,20,7,RH 440R
2023,Spring,Math 227C MATH-COMP BIOLOGY,45535,"ALLARD, J.",MWF 11:00-11:50,20,13,PSCB 230
2023,Spring,Math 230C ALGEBRA,45536,"DAVIS, C.",MWF 2:00- 2:50p Tu 2:00- 2:50p,20,13,PSCB 210 PSCB 210
2023,Spring,Math 233C ALGEBRAIC GEOMETRY,45538,"BARANOVSKY, V.",MWF 2:00- 2:50p,20,12,RH 340N
2023,Spring,Math 234C TOPICS IN ALGEBRA,45539,"BARANOVSKY, V.",MWF 1:00- 1:50p,20,5,RH 192
2023,Spring,Math 240C DIFFERENTIAL GEOM,45540,"LU, Z.",MW 12:30- 1:50p,20,19,RH 340N
2023,Spring,Math 260C FUNCTIONAL ANALYSIS,45560,"IVANISVILI, P.",MW 11:30-12:50p,20,18,RH 340P
2023,Spring,Math 271C STOCHASTIC PROCESS,45575,"SOLNA, K.",MW 9:30-10:50,20,11,PSCB 210
2023,Spring,Math 281C SET THEORY,45580,"ZEMAN, M.",TuTh 3:00- 4:20p,20,4,MSTB 114
2023,Spring,Math 290C METH IN APPLD MATH,45590,"CHEN, L. WEI, J.",MWF 1:00- 1:50p,20,8,RH 510R
2023,Spring,Math 295C PARTIAL DIFF EQNS,45660,"MOONEY, C.",MWF 11:00-11:50,30,11,RH 340N
2023,Spring,Math 296 THEORY QUANTUM MECH,45665,"HEZARI, H.",MW 9:30-10:50,20,9,RH 340P
2023,Fall,Math 1A PRE-CALCULUS I,44000,"LEHMAN, R.",TBA,0,327,ON LINE
2023,Fall,Math 1B PRE-CALCULUS II,44020,"LEHMAN, R.",TBA,0,577,ON LINE
2023,Fall,Math 2A CALCULUS I,44050,"HURTADO, O.",MWF 9:00- 9:50,195,189,SSH 100
2023,Fall,Math 2A CALCULUS I,44070,"LUDWIG, J.",MWF 12:00-12:50p,195,184,HIB 100
2023,Fall,Math 2A CALCULUS I,44080,"WHITE, F.",MWF 1:00- 1:50p,191,173,DBH 1100
2023,Fall,Math 2A CALCULUS I,44100,"HUBER, K.",MWF 2:00- 2:50p,195,191,SSH 100
2023,Fall,Math 2A CALCULUS I,44110,"HUBER, K.",MWF 4:00- 4:50p,199,132,ELH 100
2023,Fall,Math 2B CALCULUS II,44200,"SCHIRLE, J.",MWF 8:00- 8:50,195,190,DBH 1100
2023,Fall,Math 2B CALCULUS II,44230,"SIMONSON, D.",MWF 11:00-11:50,195,190,DBH 1100
2023,Fall,Math 2B CALCULUS II,44238,"SHI, Z.",MWF 3:00- 3:50p,200,185,EH 1200
2023,Fall,Math 2B CALCULUS II,44245,"SHI, Z.",MWF 1:00- 1:50p,195,190,ELH 100
2023,Fall,Math 2B CALCULUS II,44250,"SIMONSON, D.",MWF 12:00-12:50p,199,187,EH 1200
2023,Fall,Math 2D MULTIVAR CALCULUS I,44260,"ZHANG, X.",MWF 9:00- 9:50,299,296,EH 1200
2023,Fall,Math 2D MULTIVAR CALCULUS I,44270,"YOUSSEFPOUR, H.",MWF 11:00-11:50,199,199,EH 1200
2023,Fall,Math 2E MULTIVAR CALC II,44288,"KALANTZOPOULOS, P.",MWF 4:00- 4:50p,197,153,SSH 100
2023,Fall,Math 3A INTRO LINEAR ALGBRA,44310,"HUBER, K.",MWF 12:00-12:50p,200,195,HSLH 100A
2023,Fall,Math 3A INTRO LINEAR ALGBRA,44316,"LIEBER, J.",MWF 2:00- 2:50p,200,199,HSLH 100A
2023,Fall,Math 3A INTRO LINEAR ALGBRA,44322,"ZHANG, Y.",MWF 10:00-10:50,138,136,RH 104
2023,Fall,Math 3A INTRO LINEAR ALGBRA,44328,"LIEBER, J.",MWF 11:00-11:50,138,139,RH 104
2023,Fall,Math 3D ELEM DIFF EQUATIONS,44348,"YOUSSEFPOUR, H.",MWF 1:00- 1:50p,172,168,PCB 1100
2023,Fall,Math 3D ELEM DIFF EQUATIONS,44356,"YOUSSEFPOUR, H.",MWF 9:00- 9:50,119,113,RH 104
2023,Fall,Math 5A CALCULUS LIFE SCI I,44370,"SIMONSON, D.",MWF 8:00- 8:50,130,109,ALP 2300
2023,Fall,Math 5B CALC LIFE SCI II,44384,"PELAYO, R.",MWF 1:00- 1:50p,200,200,ALP 2300
2023,Fall,Math 9 INTRO PROG NUM ANLY,44398,"HE, C.",MWF 9:00- 9:50,45,42,ALP 3600
2023,Fall,Math 9 INTRO PROG NUM ANLY,44402,"HE, C.",MWF 12:00-12:50p,50,48,ALP 3600
2023,Fall,Math 9 INTRO PROG NUM ANLY,44406,"WANG, D.",TBA,49,46,ON LINE
2023,Fall,Math 10 INTRO PROG DATA SCI,44418,"SHA, Y.",MWF 1:00- 1:50p,43,34,ALP 3600
2023,Fall,Math 13 INTRO ABSTRACT MATH,44430,"DONALDSON, N.",MWF 8:00- 8:50,58,51,RH 104
2023,Fall,Math 13 INTRO ABSTRACT MATH,44434,"SMITH, L.",MWF 11:00-11:50,45,40,MSTB 124
2023,Fall,Math 13 INTRO ABSTRACT MATH,44438,"SMITH, L.",MWF 1:00- 1:50p,45,40,MSTB 122
2023,Fall,Math 105A NUMERICAL ANLYS I,44472,"MA, A.",MWF 1:00- 1:50p,99,85,SSPA 1100
2023,Fall,Math 112A INT PART DIF EQ I,44538,"LI, L.",MWF 3:00- 3:50p,80,59,RH 104
2023,Fall,Math 113A MATH MODELNG BIO I,44554,"XIN, J.",MWF 2:00- 2:50p,47,43,VRTL REMOTE
2023,Fall,Math 120A INTRO GROUP THEORY,44575,"DONALDSON, N.",MWF 12:00-12:50p,90,81,RH 104
2023,Fall,Math 121A LINEAR ALGEBRA I,44612,"WAN, D.",MWF 11:00-11:50,50,45,SSL 228
2023,Fall,Math 121A LINEAR ALGEBRA I,44640,"WAN, D.",MWF 11:00-11:50,50,31,SSL 228
2023,Fall,Math 121B LINEAR ALGEBRA II,44652,"BARANOVSKY, V.",MWF 2:00- 2:50p,80,48,RH 104
2023,Fall,Math 130A PROBABILITY I,44664,"FOREMAN, M.",MWF 10:00-10:50,59,41,MSTB 124
2023,Fall,Math 130A PROBABILITY I,44668,"YU, Y.",MWF 3:00- 3:50p,60,46,SSTR 103
2023,Fall,Math 134A FIXED INCOME,44680,"LUDWIG, J.",MWF 11:00-11:50,90,44,SH 134
2023,Fall,Math 134B FINANCL DERIVATIVES,44690,"ABRAMOVICH, P.",MWF 5:00- 5:50p,57,56,DBH 1600
2023,Fall,Math 140A ELEM ANALYSIS I,44716,"DONALDSON, N.",MWF 1:00- 1:50p,59,52,SSTR 103
2023,Fall,Math 140A ELEM ANALYSIS I,44722,"GUIDOTTI, P.",MWF 12:00-12:50p,60,29,SSTR 103
2023,Fall,Math 140B ELEM ANALYSIS II,44736,"LI, L.",MWF 2:00- 2:50p,59,54,SSTR 103
2023,Fall,Math 140B ELEM ANALYSIS II,44756,"GORODETSKI, A.",MTuWThF 10:00-10:50,0,9,RH 306
2023,Fall,Math 147 COMPLEX ANALYSIS,44766,"GOLDBRING, I.",MWF 9:00- 9:50,65,63,SH 174
2023,Fall,Math 150 INTRO TO MATH LOGIC,44770,"ZEMAN, M.",MWF 3:00- 3:50p,53,46,MSTB 122
2023,Fall,Math 192 LRNG &TCHG SEC MATH,44790,"PANTANO, A.",M 2:00- 3:50p,45,18,ALP 2200
2023,Fall,Math 192 LRNG &TCHG SEC MATH,44794,"SMITH, L.",Tu 3:30- 4:50p,30,8,ALP 1110
2023,Fall,Math 195W MATH WRITING,44815,"PELAYO, R.",MWF 10:00-10:50,20,19,MSTB 114
2023,Fall,Math 195W MATH WRITING,44818,"PELAYO, R.",MWF 11:00-11:50,20,20,MSTB 114
2023,Fall,Math 205A INTRO GRAD ANALYSIS,45000,"GORODETSKI, A. RAKSHIT, A.",MTuWThF 10:00-10:50,24,2,RH 306
2023,Fall,Math 210A REAL ANALYSIS,45020,"KRUPCHYK, K.",MWF 10:00-10:50,24,19,PSCB 210
2023,Fall,Math 218A INTRO/MANIFOLD&GEOM,45030,"STREETS, J.",MW 12:30- 1:50p,20,6,RH 340P
2023,Fall,Math 220A ANALYTIC FNCTN THRY,45040,"HEZARI, H.",MWF 9:00- 9:50,20,14,MSTB 114
2023,Fall,Math 226A COMPUTATIONAL PDES,45055,"MILES, C.",MW 8:30- 9:50,20,5,RH 440R
2023,Fall,Math 227A MATH-COMP BIOLOGY,45060,"KOMAROVA, N.",MWF 9:00- 9:50,20,15,RH 192
2023,Fall,Math 230A ALGEBRA,45070,"DAVIS, C.",MTuWTh 2:00- 2:50p,23,21,MSTB 114
2023,Fall,Math 232A ALG NUMBER THEORY,45075,"CHEONG, G.",MWF 9:00- 9:50,20,4,RH 510R
2023,Fall,Math 245A TOPICS IN DIFF GEOM,45093,"TSENG, L.",MWF 1:00- 1:50p,20,8,RH 306
2023,Fall,Math 250A ALGEBRAIC TOPOLOGY,45094,"WOLFSON, J.",MW 2:00- 3:20p,20,16,RH 306
2023,Fall,Math 260A FUNCTIONAL ANALYSIS,45095,"IVANISVILI, P.",TuTh 11:00-12:20p,20,13,RH 440R
2023,Fall,Math 270A PROBABILITY,45120,"VERSHYNIN, R.",TuTh 9:00-10:20,20,16,RH 340P
2023,Fall,Math 282A MODEL THEORY,45130,"FOREMAN, M.",MWF 11:00-11:50,20,6,RH 340N
2023,Fall,Math 290A METH IN APPLD MATH,45150,"CARTER, P.",MWF 11:30-12:20p,20,8,DBH 1425
2023,Fall,Math 295A PARTIAL DIFF EQNS,45160,"MOONEY, C.",MW 11:00-12:20p,20,7,RH 510R
2024,Winter,Math 1B PRE-CALCULUS II,44000,"LEHMAN, R.",TBA,749,650,ON LINE
2024,Winter,Math 2A CALCULUS I,44200,"ZITELLI, G.",MWF 5:00- 5:50p,172,32,SSH 100
2024,Winter,Math 2A CALCULUS I,44280,"HUBER, K.",MWF 1:00- 1:50p,174,173,PCB 1100
2024,Winter,Math 2A CALCULUS I,44319,"HUBER, K.",MWF 2:00- 2:50p,179,169,PCB 1100
2024,Winter,Math 2A CALCULUS I,44328,"WHITE, F.",MWF 12:00-12:50p,177,145,PCB 1100
2024,Winter,Math 2A CALCULUS I,44340,"WHITE, F.",MWF 3:00- 3:50p,179,111,HSLH 100A
2024,Winter,Math 2B CALCULUS II,44350,"LI, L.",MWF 1:00- 1:50p,180,180,PSLH 100
2024,Winter,Math 2B CALCULUS II,44360,"LI, L.",MWF 3:00- 3:50p,180,180,EH 1200
2024,Winter,Math 2B CALCULUS II,44385,"SHI, Z.",MWF 11:00-11:50,290,290,HIB 100
2024,Winter,Math 2B CALCULUS II,44395,"SHI, Z.",MWF 1:00- 1:50p,250,250,HIB 100
2024,Winter,Math 2D MULTIVAR CALCULUS I,44510,"SIMONSON, D.",MWF 12:00-12:50p,265,265,EH 1200
2024,Winter,Math 2D MULTIVAR CALCULUS I,44520,"YOUSSEFPOUR, H.",MWF 3:00- 3:50p,199,199,DBH 1100
2024,Winter,Math 2E MULTIVAR CALC II,44550,"YOUSSEFPOUR, H.",MWF 2:00- 2:50p,130,130,DBH 1100
2024,Winter,Math 2E MULTIVAR CALC II,44560,"YOUSSEFPOUR, H.",MWF 11:00-11:50,124,124,DBH 1600
2024,Winter,Math 3A INTRO LINEAR ALGBRA,44580,"ZHANG, Y.",MWF 9:00- 9:50,173,173,PSLH 100
2024,Winter,Math 3A INTRO LINEAR ALGBRA,44590,"LIEBER, J.",MWF 11:00-11:50,187,187,SSH 100
2024,Winter,Math 3A INTRO LINEAR ALGBRA,44602,"LIEBER, J.",MWF 12:00-12:50p,182,182,SSH 100
2024,Winter,Math 3D ELEM DIFF EQUATIONS,44620,"KALANTZOPOULOS, P.",MWF 11:00-11:50,188,188,ELH 100
2024,Winter,Math 3D ELEM DIFF EQUATIONS,44630,"KALANTZOPOULOS, P.",MWF 1:00- 1:50p,192,191,ELH 100
2024,Winter,Math 5A CALCULUS LIFE SCI I,44800,"SIMONSON, D.",MWF 8:00- 8:50,120,107,ALP 2300
2024,Winter,Math 5B CALC LIFE SCI II,44815,"SIMONSON, D.",MWF 9:00- 9:50,180,157,ALP 2300
2024,Winter,Math 9 INTRO PROG NUM ANLY,44850,"WALKER, B.",MWF 2:00- 2:50p,50,50,ALP 3600
2024,Winter,Math 9 INTRO PROG NUM ANLY,44860,"WALKER, B.",MWF 3:00- 3:50p,50,50,ALP 3600
2024,Winter,Math 10 INTRO PROG DATA SCI,44870,"WANG, D.",MWF 11:00-11:50,49,42,ALP 3600
